,CrippenLogP,nHBAcc,nHBDon,naAromAtom,C1SP3,C1SP2,VE1_DzZ,maxdssC,hmin,hmax,ZMIC1,ZMIC2,ZMIC3,ZMIC4,ZMIC5,ATSC0c,ATSC1c,ATSC2c,ATSC3c,ATSC4c,ATSC5c,ATSC0m,ATSC1m,ATSC2m,ATSC3m,ATSC4m,ATSC5m,ETA_dAlpha_A,ETA_Shape_Y,ETA_BetaP_s,ETA_Beta_ns_d
DTXSID6021030,3.519090000000002,1,0,12,0,0,4.996003610813204e-16,0.0,0.3272222222222222,0.6047392290249433,44.598682046031634,40.81365701089272,36.04448774253208,35.354765782114725,39.49309754461888,0.0658809425161766,-0.0348996077561058,0.0263831425217419,-0.0220596455277991,0.0056916783241249,-0.0005536006256840762,817.9641660000001,53.049803999999575,-150.50319200000038,80.9020239999999,65.08504399999987,-275.20721599999985,0.0,0.19626,0.58333,0.5
DTXSID4022529,1.1471899999999997,2,1,6,0,1,0.0978429621415426,0.0,0.332361111111111,0.6907270408163266,25.467527093627325,22.31486811229616,21.789424948740965,23.68241653900925,21.789424948740965,0.4691128451649415,-0.2665694289220992,0.029526081963553,0.0761306312174578,-0.0697600542409573,-0.1720404379937366,711.760314526316,-11.950776631579146,63.03510924930725,-114.11949930747936,-407.6514850969529,-151.92932797783928,0.0,0.3,0.59091,0.5
DTXSID7032004,4.176580000000001,2,1,6,3,1,0.3189583792972646,0.0,0.3775538548752835,1.4680102040816327,35.92999165934401,32.41529057949717,30.940437678722304,30.746644972348403,30.74664497234841,0.5422265587090244,-0.2952688874769413,0.1828575663007358,-0.0785343220480163,-0.3238479762880417,0.4048377723675375,1298.034707970247,16.34385755178742,679.992438087861,151.14852382646626,133.98840699875393,425.4521939785054,0.0,0.35552,0.61842,0.5
DTXSID0020232,0.4354799999999998,6,0,5,0,2,0.0862338108483063,0.0,0.2399305555555555,0.6861805555555556,31.440225520502807,25.853759374819717,22.542481250360584,21.141729690294483,21.141729690294483,0.547654939624769,-0.3733200297905518,0.1183182644743137,-0.0110309756053412,0.0435640350333578,-0.0533933929349342,889.6892378333331,70.12755184027714,551.8834603819438,51.54076090277675,-712.4789795208344,-1047.3665955416668,0.0,0.51064,0.76786,0.0
DTXSID0021256,4.081570000000003,8,3,18,0,3,0.1825325106871199,0.0,0.1354828113289443,1.4292538022979089,57.32415896375747,37.20091370263048,32.37105275884672,30.16342834619637,30.001889421302145,0.9005931544427584,-0.5244885443100685,0.2623732921951349,-0.2796539665865919,0.0974436446683718,-0.1774950760079945,1924.4711024047604,304.1919547664405,-80.62596713151899,-323.7868690861678,-728.5984659336735,-192.48500355158757,0.0,0.26718,0.625,2.0
DTXSID2022381,5.155790000000005,0,2,12,2,0,1.1102230246251563e-15,0.0,0.1324131944444444,0.5584579343866412,48.02901981273015,39.58442628177376,38.523613007275664,38.52361300727566,38.52361300727566,0.4420100135061181,-0.2469919602204359,0.0358155241720181,0.0015028451582192,-0.0436283467384419,0.0179949735689912,1390.5431502857152,-12.24042381632482,44.62102302040978,-20.295106081632294,-521.0589255510199,-293.33689185714263,0.0,0.31035,0.55,1.0
DTXSID6025145,1.87354,0,1,6,2,0,0.0258308599345244,0.0,0.224375,0.6195833333333334,23.539629979287707,19.99555548218104,19.641500348113464,17.35706058931273,17.35706058931273,0.2187046090712453,-0.1284618098710794,0.0130789416455334,0.0232352341224,-0.010606417444286,-0.0250422499379404,634.7270885263156,-21.622306315789068,201.30338829916937,-340.20349186426546,-350.52044789750744,-6.912578853186076,0.0,0.34615,0.52778,0.5
DTXSID6024466,0.93539,3,2,6,0,1,0.0497697190114586,0.0,0.3611111111111111,0.7721570294784581,24.577595818679622,21.50711250220808,22.468868464855216,20.995365282796158,20.995365282796158,0.4452863998970979,-0.306483997959224,0.1265700124578608,-0.0166476350784804,-0.0397959393429202,-0.1053530439802202,618.8091669411765,-56.33035058823568,40.36623220415191,-208.036966480969,-178.82587801384057,149.29489535986195,0.0,0.32847,0.575,0.5
DTXSID6048175,5.118280000000004,3,0,17,1,0,0.0688215019674661,0.0,0.1473847607512726,1.2681294995707473,51.177118647063466,33.98925188856353,31.498534737862787,31.498534737862787,31.49853473786279,0.5099198336171794,-0.1130746834146688,-0.1675058602241647,0.019540265806809,-0.0431205811896265,0.0191111645395809,2063.890923331407,262.90374350197834,-222.25475830733464,-521.6965711249552,-931.0103378632872,403.82172792609,0.0,0.39872,0.62,1.0
DTXSID5020027,-0.18222,2,1,0,0,2,0.0271651442887764,0.0,0.528125,0.7430555555555556,13.454402985832829,13.152097998526925,13.152097998526925,9.165784284662088,2.11508495181978,0.2483708659213877,-0.2004944507909517,0.1414231915238596,-0.0268757761928399,-0.065606151347851,0.0273677538470892,384.8143089,-48.39119040999984,57.76894912000008,-172.58347187999993,-178.0365613200001,148.83512003999982,0.0,0.22388,0.5,0.0
DTXSID7021029,-0.2846999999999999,1,0,0,0,0,0.1153535646487212,0.0,0.3958333333333333,0.8854166666666667,15.146794791117888,15.146794791117888,12.945338306530516,5.377849199461769,-0.0,0.0567595048977217,-0.0093834920652587,-0.0089103144428856,0.0067732136377668,-0.0168591595784833,0.0,444.0491896363635,15.699746148760523,118.84751671074376,-333.4141668099172,-23.15769086776892,0.0,0.0,0.1875,0.55,0.0
DTXSID2020634,-0.8592200000000002,4,1,0,0,2,0.0618236804739093,0.0,0.4800694444444444,1.0434027777777777,21.830577088261236,19.71729375396636,19.717293753966363,19.71729375396636,19.717293753966363,0.5137284565203147,-0.3176965549576134,0.1718558574191207,-0.1145936103005921,-0.045613146277648,0.0491832258565754,435.33951856128937,-14.949243196800008,-73.19046049941456,-136.95227029034862,-80.61045711498758,88.03267182090603,0.0,0.39975,0.69444,0.0
DTXSID0021125,2.776700000000002,2,2,18,0,1,5.412337245047638e-16,0.0,-0.2459722222222224,0.8893750000000001,60.720369204603095,44.48286192043053,38.51715310044842,37.92686171196812,37.92686171196811,0.6799661074121177,-0.4011220998237237,0.082933818720137,0.0281543348074215,-0.0659089242987883,-0.078427080675162,1256.7289098947365,-4.666661254846872,7.293601340721338,14.420551667590772,-230.32853956786695,-333.4864986177289,0.0,0.30882,0.61458,1.0
DTXSID5048186,5.964680000000001,2,2,12,0,1,0.2035694254006064,0.0,-0.2069354280045352,0.7260573986879724,119.07234967205144,111.43564685465448,107.682325036478,80.73160461854425,80.73160461854425,0.7173304115496032,-0.4083248634732957,0.0637734141641084,-0.0301548789594644,0.0326159621450599,0.0453743444736965,48828.9255424458,-75.45378107340076,-1968.156440209787,-13930.927364257104,16269.86564629291,-22162.85354558824,0.17749,0.30192,0.57955,3.0
DTXSID1020431,2.9934000000000003,0,0,6,0,0,1.6653345369377348e-16,0.0,0.1503480795610425,0.4023105281207133,34.61102917892632,34.61102917892632,34.61102917892632,34.61102917892632,34.61102917892632,0.0788431704637613,-0.0353245723034872,0.0140653879650013,0.0065325792408494,-0.053486973196882,0.0287919930626377,1582.3529816666671,7.105427357601002e-15,-0.3422481666666632,-791.0053667500003,-790.8342426666668,791.0053667500001,0.05357,0.22581,0.5625,1.0
DTXSID3022536,3.8559900000000025,0,1,12,2,0,0.0064359025280515,0.0,0.147250566893424,0.5887270880574453,44.424808567382726,34.39342030682089,29.021146483360877,30.0919171866887,32.417292966721746,0.2289960200892193,-0.1270821861536108,0.0256437364791593,-0.0032730996030393,-0.0355147902519021,0.0029754491749702,1027.8151755,6.473798265624154,170.39021298437407,-449.2522063437508,-539.3217377343751,13.158564921875772,0.0,0.19149,0.54688,0.5
DTXSID7041097,5.847680000000005,3,0,16,2,1,0.4369075517002858,0.0,-0.087335443436634,0.5428022167943538,52.7089477017762,36.48434832643056,29.345993238411168,25.383157877687854,25.557070921166115,0.3330660012672237,-0.1569906160829392,-0.07539740751449,0.1178450844014999,-0.0181557180493555,-0.0164542652264567,2249.172765652174,63.66115027599411,438.6634252287348,462.8149004536878,-223.81357473156908,561.3297125085062,0.0,0.35634,0.61,0.5
DTXSID6022927,-0.0589200000000001,7,2,5,2,2,0.2365247021761329,0.0,-0.0794075963718821,0.8485416666666667,24.912010794991343,21.87590956302086,21.36336308160636,21.36336308160636,21.36336308160636,0.8254665804456738,-0.4447319290452913,0.0433483185731159,-0.0570631953074491,0.0847049548415741,-0.0945207881423992,1083.2088886896552,41.15264133174753,-74.83845761831182,145.66307464566017,49.13361474316315,-247.8531663662302,0.0,0.38158,0.75,0.0
DTXSID7027041,2.663590000000003,2,2,0,6,0,1.5543122344752194e-15,0.0,0.113611111111111,0.4705555555555555,39.31454757324807,35.20870198830552,34.3817672610998,34.3817672610998,34.3817672610998,0.4506524631725546,-0.2869191320296441,0.1390724851409681,-0.1107443578225786,0.0529223598853635,0.0728760963058843,1338.0787504761884,-78.7909808458065,520.5472430430823,-1047.4491598344696,1126.5647322358282,-1138.9004343424058,0.0,0.13043,0.5,0.0
