,CrippenLogP,nHBAcc,nHBDon,naAromAtom,C1SP3,C1SP2,VE1_DzZ,maxdssC,hmin,hmax,ZMIC1,ZMIC2,ZMIC3,ZMIC4,ZMIC5,ATSC0c,ATSC1c,ATSC2c,ATSC3c,ATSC4c,ATSC5c,ATSC0m,ATSC1m,ATSC2m,ATSC3m,ATSC4m,ATSC5m,ETA_dAlpha_A,ETA_Shape_Y,ETA_BetaP_s,ETA_Beta_ns_d
DTXSID4020119,1.3282600000000016,6,1,14,0,4,0.0746275998174313,0.0,0.1952667023599562,0.7647642668178383,34.56079248162663,26.415434431333605,26.207708299168907,26.207708299168907,26.2077082991689,0.5687850986253369,-0.3241982543766043,-0.0530370868834521,0.1191702417544191,0.0116695128295679,-0.0376349723164687,1261.9408418461535,51.48254108875759,316.7639484911244,328.89879872781086,-763.672193414201,-476.2179229289941,0.0,0.375,0.76316,0.5
DTXSID8029105,0.87591,3,1,6,1,0,0.3976881397909056,0.0,0.2251851851851851,1.063009259259259,29.07385501406037,25.9012275863307,26.76561320530817,25.37245634837576,25.372456348375756,0.2499109745359747,-0.184947126826021,0.1426280020116222,-0.0706318744916287,-0.0115719744902744,-0.0229632412607871,1289.2573842000004,377.3034436999998,50.42355966999949,-572.7378960899998,-389.3265258999991,346.3199648100006,0.0,0.18519,0.54545,0.0
DTXSID4026684,4.290480000000004,1,0,6,1,1,0.3895183627570066,0.9049102418745278,0.2331618480725623,0.6306444869614511,36.75272174869231,26.4616530683408,22.585464590424703,22.432162441557946,22.432162441557946,0.164500769590987,-0.0378256305113138,-0.0568213189137138,0.0229892462582118,-0.0209510793172741,0.0094499034314736,1140.3601799999994,-1.2079226507921705e-12,-258.088006000001,79.88396399999972,113.082001,71.93996399999988,0.0,0.12766,0.51563,0.0
DTXSID7042196,0.9443899999999998,3,1,0,3,1,0.2028784399039128,0.0,0.2030555555555555,0.7625,21.613164075902336,18.311529169310905,17.033208335737193,18.325689586097766,18.960523342054444,0.4913248532442162,-0.2741783892967666,-0.0884496241779585,0.2818744793432995,-0.1687035760364441,-0.0304374208852817,901.5466378333326,-31.708122006945104,41.33283328472186,167.16304209722216,-288.2785570486108,-254.398878284722,0.0,0.22222,0.55,0.0
DTXSID5022489,1.83558,2,1,6,0,1,0.1375736817741422,0.0,0.32,0.7960717828798187,29.50674357757141,24.055636556764437,21.105650735384422,20.751595601316847,22.17133929401806,0.3266722466904374,-0.2431846283108833,0.1384625719268143,-0.0367598347653757,-0.0560233569005291,0.0445722042086452,663.0899229473684,-27.078310105263466,-115.23776265928012,-211.74468400831023,-31.28341828531832,256.7213491163436,0.0,0.19355,0.54545,0.0
DTXSID0020076,-0.6898100000000001,4,2,5,0,0,0.2030721190491059,0.0,0.4444444444444444,0.7086805555555555,15.183174223787772,14.880869236481868,14.88086923648187,14.88086923648187,14.73841171239176,0.2952990373134652,-0.245522033575606,0.1514478624075626,-0.0205937082522484,-0.085010653020529,0.0520290137840883,370.3984216,-18.75481519999988,29.19104596000008,-195.63544156000003,-219.05184016000004,219.05184015999984,0.0,0.19231,0.70833,0.5
DTXSID2032558,3.2670100000000017,2,0,12,2,1,0.1135285296989471,0.1101700155370795,-0.1322590702947845,0.8411805555555556,47.02784546362497,31.800806688177182,25.644883694832647,23.896892786578118,23.73535386168389,0.5684698657292018,-0.1832470977051894,-0.1978474500075426,0.0447564739192263,0.1202827684392805,-0.0720244955169552,1498.2678610714293,92.18548947449152,189.1884000000012,43.67383972449138,-294.36476105612064,-80.75486022959058,0.0,0.2795,0.6087,0.5
DTXSID9021390,2.0714,0,0,0,2,0,2.220446049250313e-16,0.0,-0.0142318244170096,0.1895404663923182,35.91039197218517,30.24045215092029,28.353489449845405,17.32656872413936,-0.0,0.120516634871839,-0.0061764423249916,-0.0634409525329131,0.0048825421456828,0.0044765352763024,0.0,2232.203734909091,-1.9351339173553228,-1076.3915757603304,-45.2842523966944,7.50909461983457,0.0,0.10715,0.13725,0.54167,0.0
DTXSID5040708,4.499890000000003,1,1,6,1,0,0.3438919108547096,0.0,0.1320507369614512,0.493483903011771,31.70705273856736,23.179229296672176,22.304229296672176,21.31099367586925,20.18599367586925,0.1667428890183223,-0.0952225917397762,0.0200690062458556,-0.010870274921224,-0.0172217645884821,0.0280173571712971,964.41763321875,-18.09311625000101,-129.0478644833994,-98.71109780078145,-138.2810605996092,131.21504747558637,0.0,0.15625,0.51923,0.5
DTXSID9020160,6.251000000000006,2,0,12,5,1,0.1416821992293057,0.0,-0.1766084026203076,1.2877086901253938,54.25977750873843,40.04304249874951,34.55307532682096,32.882126378100025,32.88212637810002,0.5999874602854884,-0.339404650443906,-0.0284354299538162,0.0955048593357527,0.1371574428900354,-0.1865164159129285,2685.5923977633024,42.50061442088054,723.5511981054143,197.38794769505412,208.7810349462773,-222.1699022505749,0.0,0.29116,0.59483,0.0
DTXSID1025148,1.81883,0,1,6,2,0,1.1102230246251563e-16,0.0,0.21875,0.6420833333333333,23.539629979287707,21.41529917488225,21.061244040814675,21.06124404081468,21.06124404081468,0.2181905833656538,-0.1260851706709096,0.0240200634389242,-0.0367346742089885,0.0917920717198921,-0.1084214968400641,634.7270885263156,-21.622306315789068,201.3033882991693,-505.1494648642656,238.9845677867033,-877.5999090858728,0.0,0.34615,0.52778,0.5
DTXSID8024159,4.9954700000000045,2,1,11,3,2,0.1929734614413371,0.0,0.0767914951410622,0.6730619331065759,39.95217173139507,32.42631614856772,30.77073984755109,30.7707398475511,32.280138284600376,0.6872245733659298,-0.265457227556739,-0.0177882700593399,-0.4493613360770832,0.707483310837889,-0.2659007118746437,1735.5338160000003,103.16932800000244,635.392951000002,191.0859200000025,-119.05748799999652,163.11877100000095,0.0,0.26946,0.625,1.5
DTXSID4024066,1.782890000000001,0,0,6,0,0,1.6653345369377348e-16,0.0,0.6111805555555556,0.7756944444444445,35.75,32.75,32.25,32.25,32.25,0.1492743767843204,0.0312819590626035,-0.0524214001342899,-0.084725255328997,-0.0058210283914576,0.0534432962663936,519.6443550000001,43.850124,13.706143500000014,196.0695928125001,-64.85028225,-239.9197168125001,0.0,0.35065,0.625,0.0
DTXSID8023632,-1.88871,6,4,0,0,2,8.326672684688674e-16,0.0,0.6826388888888888,1.042013888888889,29.75,29.25,29.25,29.25,24.75,1.0708625742542224,-0.6247792448072726,-0.0702518081665455,0.3436769300015061,-0.2966966459536202,0.2323048574830371,711.0979117499999,-140.47631389062514,-46.28212015625009,-78.79763164062501,-227.8057200625,149.1772823906251,0.0,0.5,0.6,0.0
DTXSID1033161,1.09868,3,1,0,2,1,0.2204494810076802,0.0,0.3016539509322248,0.7550489208028891,24.72247501650646,23.489391678365436,23.48939167836543,23.48939167836543,23.489391678365426,0.4057860832452246,-0.2545856211329341,0.0805040949671609,0.061734223283227,-0.0526041277199991,-0.0805925716202071,1636.539829185186,265.75190074759865,369.5572241056235,-1313.3874821646102,-379.824348307269,545.7373185500692,0.0,0.21739,0.59615,0.0
DTXSID7034545,3.698880000000005,3,0,12,4,1,0.1846130746932833,0.8722912292489015,0.0229570184555303,0.6493601626447947,49.13719730939763,37.2332644420229,32.508315390917325,31.07914121998236,35.95103776696104,0.7417662360473286,-0.2704514177741495,-0.248649820386148,0.2279549354131758,-0.118344141046058,0.0782296002892398,2458.560714244899,98.89370852061744,88.96742236110056,-431.790322483964,-844.2168710953749,227.8711142628067,0.0,0.30121,0.63889,1.5
DTXSID8034871,5.264570000000002,4,0,11,3,2,0.3255414445663394,0.0,-0.0357278281683044,1.394939950421552,42.78412471039813,34.24059734021664,31.20791836895918,31.207918368959188,31.20791836895918,1.0379369455128755,-0.4758275604641473,-0.1414298611753594,0.2403568353782451,-0.2209565529693411,0.0258162460934766,2812.4031707163704,31.4255135380144,551.9567546592015,313.4658439588711,-349.7836510793832,-592.2266593647402,0.0,0.41111,0.66346,2.5
DTXSID5021124,1.7627900000000003,0,1,6,0,0,0.0417105171813075,0.0,0.4375,0.7220833333333334,22.826625372424544,20.69351610227095,19.813590076828632,19.988990477803767,19.988990477803767,0.2111733362414655,-0.1213069748309137,0.0175920587319568,-0.000801761597441975,-0.0043653686317312,-0.003249080369532,446.32166723076926,-24.85106861538445,-106.87181733727788,-158.75321602366867,-42.52191074556236,71.00606620118327,0.0,0.15,0.53571,0.5
DTXSID2034881,6.040070000000001,1,0,16,0,1,0.2461412132651174,0.0,-0.1115525006298816,0.6365374228395062,49.14560436532621,36.10038314037912,29.591189487807124,29.59118948780712,29.59118948780712,0.3865542429559647,-0.1412715538305332,0.0281502995775724,-0.2462623946294715,0.1612106228390929,-0.00921793122267,2107.663195163564,8.046333995814871,-19.031951083566028,-764.3600943470904,824.7987621094576,-308.14539926517494,0.0,0.35184,0.6375,2.0
DTXSID4021268,2.19898,5,2,6,4,0,8.881784197001252e-16,0.0,0.2284567901234567,0.5318595679012346,32.42691392002005,29.469062983433183,29.46906298343318,29.46906298343318,29.469062983433183,0.4494729975260267,-0.4364532900190976,0.4652492119297927,-0.5052033396702904,0.3951199854423848,-0.1478242578831669,1633.0864014399997,11.191092959999429,538.1025525407998,715.6846202128004,434.9277907311996,-908.1895524736008,0.0,0.24138,0.71154,1.5
DTXSID4036435,3.203190000000003,2,0,0,3,1,0.2765819489651245,0.3736649922314607,0.0148383566389518,0.4569444444444444,36.2700632409292,28.3901974475482,22.24262876944224,21.529158615936,21.826489739690302,0.2231971820470844,-0.1089323687472572,0.0267360056717615,0.0039655111436407,-0.0419617628866449,0.0052167682525054,1154.3794149729724,26.658468108106888,-205.23297102848892,-59.98004227976687,-240.78511990942363,14.671696948867982,0.0,0.13366,0.57143,0.0
DTXSID3034664,0.8461899999999996,7,2,6,4,4,0.0043290307665054,0.1968211451247168,-0.03552024281935,0.7648485528470648,31.260458412596208,25.89730784267502,24.838008828482927,24.83800882848293,25.820706976176027,0.8577637237713033,-0.4501720415206755,0.000475636566278889,0.0453338292887485,-0.1230903982495109,0.2222319613751887,1521.8527538048777,27.825300712077865,606.4343175669255,-122.53779330814793,-76.94887129149203,230.3187543979773,0.0,0.34884,0.64773,0.0
DTXSID1025017,4.123000000000005,2,0,12,4,0,4.440892098500626e-16,0.0,-0.1300977891156465,0.5584158871882087,56.82332154069846,49.43802485061191,44.03308082057387,43.337403945847726,43.33740394584772,0.1573884825227328,-0.0196031950279647,-0.0047459759883359,-0.0159183119782568,-0.0541603038055976,0.01656569052037,1390.5431502857152,91.42364818367516,495.1426575918381,-716.5293701836717,-532.824025714284,-134.07518785714373,0.0,0.10345,0.55,0.0
